Country,Total_Cases,Total_Deaths,Population,Deaths_per_100k
Afghanistan,235214,7998,40000412.0,19.99
Albania,337196,3608,2811666.0,128.32
Algeria,272226,6881,44761099.0,15.37
American Samoa,8359,34,49225.0,69.07
Andorra,48015,159,78364.0,202.9
Angola,107487,1937,34532429.0,5.61
Antigua and Barbuda,9106,146,92349.0,158.1
Argentina,10112059,130750,45312281.0,288.55
Armenia,454267,8785,2962300.0,296.56
Aruba,44224,292,107700.0,271.12
Australia,11861161,25236,25685412.0,98.25
Austria,6083118,22534,8955797.0,251.61
Azerbaijan,836508,10353,10137750.0,102.12
Bahrain,696614,1536,1504365.0,102.1
Bangladesh,2051617,29499,167658854.0,17.59
Barbados,108841,593,282147.0,210.17
Belarus,994048,7118,9302585.0,76.52
Belgium,4895384,34339,11586195.0,296.38
Belize,71432,688,395346.0,174.02
Benin,28036,163,13413417.0,1.22
Bermuda,18860,165,64648.0,255.23
Bhutan,62697,21,775442.0,2.71
Bosnia and Herzegovina,404262,16406,3244907.0,505.59
Botswana,330699,2801,2401441.0,116.64
Brazil,37712242,702731,209550294.0,335.35
British Virgin Islands,7644,64,37809.0,169.27
Brunei Darussalam,350550,182,451721.0,40.29
Bulgaria,1338398,38765,6877743.0,563.63
Burkina Faso,22171,400,21995243.0,1.82
Burundi,54569,15,12965481.0,0.12
Cabo Verde,64474,417,516649.0,80.71
Cambodia,139326,3056,16974305.0,18.0
Cameroon,125279,1974,26915758.0,7.33
Canada,4819055,55282,38239864.0,144.57
Cayman Islands,31472,37,70108.0,52.78
Central African Republic,15443,113,5112100.0,2.21
Chad,7702,194,17828273.0,1.09
Chile,5410124,62871,19456334.0,323.14
China,99381761,122398,1412360000.0,8.67
Colombia,6397405,142754,51188173.0,278.88
Comoros,9109,160,818174.0,19.56
Costa Rica,1236157,9374,5059988.0,185.26
Croatia,1356728,18784,3878981.0,484.25
Cuba,1113670,8530,11122168.0,76.69
Cyprus,712997,1364,1317309.0,103.54
Czechia,4830708,43808,10505772.0,416.99
Denmark,3447254,10012,5856733.0,170.95
Djibouti,15690,189,1121248.0,16.86
Dominica,16047,74,67202.0,110.12
Dominican Republic,661103,4384,11123476.0,39.41
Ecuador,1080189,36056,17682454.0,203.91
El Salvador,202004,4230,6255782.0,67.62
Equatorial Guinea,17130,183,1758786.0,10.4
Eritrea,10189,103,3350183.0,3.07
Estonia,614485,3144,1330932.0,236.23
Eswatini,75356,1427,1206593.0,118.27
Ethiopia,501304,7574,122138588.0,6.2
Faroe Islands,34658,28,53315.0,52.52
Fiji,69047,885,916711.0,96.54
Finland,1499712,11466,5541017.0,206.93
France,39037318,168162,67842811.0,247.87
French Polynesia,79451,650,279792.0,232.32
Gabon,49069,307,2376722.0,12.92
Georgia,1864383,17151,3708610.0,462.46
Germany,38437863,174979,83196078.0,210.32
Ghana,172336,1463,32518665.0,4.5
Gibraltar,20550,113,36858.0,306.58
Greece,5767352,40058,10569207.0,379.01
Greenland,11971,21,56653.0,37.07
Grenada,19693,238,116688.0,203.96
Guam,52287,419,163730.0,255.91
Guatemala,1251548,20203,17598650.0,114.8
Guinea,38582,468,13710513.0,3.41
Guinea-Bissau,9614,177,2058841.0,8.6
Guyana,74508,1302,815482.0,159.66
Haiti,34785,860,11374586.0,7.56
Honduras,472919,11114,10289877.0,108.01
Hungary,2237993,49124,9709891.0,505.92
Iceland,210776,186,372520.0,49.93
India,45044634,533664,1414203896.0,37.74
Indonesia,6830227,162059,276758053.0,58.56
Iraq,2465545,25375,43071211.0,58.91
Ireland,1753694,9787,5033164.0,194.45
Isle of Man,38008,116,84106.0,137.92
Israel,4841558,12707,9371400.0,135.59
Italy,26967687,198388,59133173.0,335.49
Jamaica,157399,3621,2837682.0,127.6
Japan,33803572,74694,125681593.0,59.43
Jordan,1746997,14122,11066356.0,127.61
Kazakhstan,1504370,19072,19743603.0,96.6
Kenya,344131,5689,53219166.0,10.69
Kiribati,5085,24,128377.0,18.69
Kuwait,667290,2570,4360865.0,58.93
Latvia,977775,7586,1884490.0,402.55
Lebanon,1239904,10947,5718122.0,191.44
Lesotho,36138,709,2261542.0,31.35
Liberia,7932,294,5259323.0,5.59
Libya,507269,6437,7135175.0,90.22
Liechtenstein,21618,89,39182.0,227.15
Lithuania,1424565,9883,2800839.0,352.86
Luxembourg,397547,1000,640064.0,156.23
Madagascar,68658,1428,29691083.0,4.81
Malawi,89168,2686,20047258.0,13.4
Malaysia,5329836,37351,34282399.0,108.95
Maldives,186694,316,516154.0,61.22
Mali,33183,743,22388630.0,3.32
Malta,123654,1016,518536.0,195.94
Marshall Islands,16297,17,41367.0,41.1
Mauritania,63886,997,4734874.0,21.06
Mauritius,332011,1074,1266334.0,84.81
Mexico,7622513,334818,127648148.0,262.3
Monaco,17181,67,38527.0,173.9
Mongolia,1011489,2136,3383741.0,63.13
Montenegro,251280,2654,619211.0,428.61
Morocco,1279115,16305,36954442.0,44.12
Mozambique,233904,2252,31707800.0,7.1
Myanmar,643241,19494,53387102.0,36.51
Namibia,172556,4110,2810548.0,146.23
Nauru,5393,1,11709.0,8.54
Nepal,1003450,12031,29475010.0,40.82
New Caledonia,80203,314,285214.0,110.09
New Zealand,2668236,4538,5111300.0,88.78
Nicaragua,16301,245,6644741.0,3.69
Niger,9548,315,24502140.0,1.29
Nigeria,267197,3155,218529286.0,1.44
North Macedonia,352093,9991,1837114.0,543.84
Northern Mariana Islands,14985,41,46979.0,87.27
Norway,1535968,5732,5408320.0,105.98
Oman,399449,4628,4500424.0,102.83
Pakistan,1580631,30656,239477801.0,12.8
Palau,6372,10,17783.0,56.23
Panama,1045165,8775,4345405.0,201.94
Papua New Guinea,46864,670,10012896.0,6.69
Paraguay,735759,19880,6684182.0,297.42
Peru,4528708,220994,33155882.0,666.53
Philippines,4140383,66864,113100950.0,59.12
Poland,6779092,121016,36981559.0,327.23
Portugal,5671586,29132,10361831.0,281.15
Puerto Rico,1252713,5938,3262693.0,182.0
Qatar,514524,690,2504910.0,27.55
Romania,3568842,68963,19122059.0,360.65
Russian Federation,24901467,404290,144746762.0,279.31
Rwanda,133268,1468,13355260.0,10.99
Samoa,17057,31,213779.0,14.5
San Marino,25292,126,34252.0,367.86
Sao Tome and Principe,6771,80,221961.0,36.04
Saudi Arabia,841469,9646,30784383.0,31.33
Senegal,89334,1972,17220867.0,11.45
Serbia,2567965,18057,6834326.0,264.21
Seychelles,51899,172,99258.0,173.29
Sierra Leone,7985,125,8094602.0,1.54
Singapore,3006155,2024,5453566.0,37.11
Sint Maarten (Dutch part),11051,92,41571.0,221.31
Slovenia,1363162,9914,2108079.0,470.29
Solomon Islands,25954,199,762591.0,26.1
Somalia,27334,1361,17271431.0,7.88
South Africa,4072930,102595,61502603.0,166.81
South Sudan,18868,147,10865780.0,1.35
Spain,13980340,121852,47415794.0,256.99
Sri Lanka,672812,16907,22156000.0,76.31
Sudan,63993,5046,48066924.0,10.5
Suriname,82507,1406,617896.0,227.55
Sweden,2774847,28730,10415811.0,275.83
Switzerland,4478036,14170,8704546.0,162.79
Syrian Arab Republic,57423,3163,21628839.0,14.62
Tajikistan,17786,125,9966908.0,1.25
Thailand,4814003,34744,71727332.0,48.44
Timor-Leste,23460,138,1350139.0,10.22
Togo,39540,290,8878379.0,3.27
Tonga,16992,13,105490.0,12.32
Trinidad and Tobago,191496,4390,1367558.0,321.01
Tunisia,1153361,29423,12048622.0,244.2
Turkmenistan,0,0,7092043.0,0.0
Turks and Caicos Islands,6846,40,45243.0,88.41
Tuvalu,2943,1,10194.0,9.81
Uganda,172163,3632,45910930.0,7.91
Ukraine,5543211,109925,44298640.0,248.15
United Arab Emirates,1067030,2349,9575152.0,24.53
Uruguay,1042765,7694,3396695.0,226.51
Uzbekistan,175082,1016,34243696.0,2.97
Vanuatu,12019,14,305868.0,4.58
Viet Nam,11624000,43206,98935098.0,43.67
Zambia,349892,4078,19603607.0,20.8
Zimbabwe,266410,5740,15797210.0,36.34
